dt,LandAverageTemperature,LandAverageTemperatureUncertainty,LandMaxTemperature,LandMaxTemperatureUncertainty,LandMinTemperature,LandMinTemperatureUncertainty,LandAndOceanAverageTemperature,LandAndOceanAverageTemperatureUncertainty
1889,8.319,0.3698333333333334,14.294083333333333,0.54675,2.3480833333333333,0.55075,15.113416666666666,0.15241666666666667
1890,7.971666666666667,0.34299999999999997,13.928916666666666,0.58175,1.8507500000000003,0.50825,14.84075,0.14966666666666667
1891,8.019333333333334,0.3353333333333333,14.033333333333333,0.4699166666666667,1.9055,0.4410833333333333,14.943833333333332,0.15358333333333332
1892,8.065833333333332,0.3388333333333333,13.970583333333336,0.5106666666666667,1.9816666666666667,0.40925000000000006,14.8825,0.156
1893,8.05675,0.34525,13.936666666666667,0.4659166666666667,1.907166666666667,0.36775,14.91225,0.15425
1894,8.161,0.31725,14.0405,0.42524999999999996,2.12375,0.4171666666666667,14.91475,0.15033333333333332
1895,8.147,0.29925,14.077666666666667,0.4630833333333333,2.075833333333333,0.4139166666666667,14.969,0.14683333333333334
1896,8.214916666666667,0.30883333333333335,14.107916666666666,0.4748333333333333,2.11475,0.3995,15.090583333333333,0.148
1897,8.293333333333333,0.31383333333333335,14.186750000000002,0.49133333333333334,2.2940833333333335,0.37975000000000003,15.075333333333333,0.14933333333333335
1898,8.177999999999999,0.3256666666666667,14.231833333333334,0.45825,2.153,0.3881666666666667,14.886916666666666,0.1485
1899,8.396333333333333,0.32475,14.331583333333334,0.42566666666666664,2.430083333333333,0.38083333333333336,15.048333333333334,0.1475
1900,8.501583333333334,0.31475000000000003,14.3895,0.3875833333333334,2.5756666666666663,0.40625,15.143916666666668,0.15025
1901,8.541916666666667,0.30624999999999997,14.512166666666667,0.44816666666666666,2.4905,0.3975,15.073333333333332,0.14575
1902,8.304416666666667,0.29275,14.36425,0.39433333333333337,2.20375,0.3561666666666667,14.958333333333334,0.13549999999999998
1903,8.220166666666666,0.29,14.085749999999999,0.38975,2.2833333333333337,0.37825,14.836583333333332,0.13483333333333333
1904,8.090916666666667,0.28641666666666665,14.063666666666668,0.5,2.1710833333333333,0.33775,14.810416666666669,0.1330833333333333
1905,8.225166666666667,0.27875,14.082166666666666,0.3695,2.34325,0.3775833333333334,14.954666666666666,0.129
1906,8.379083333333332,0.27491666666666664,14.244,0.38399999999999995,2.4864166666666665,0.3421666666666667,15.031916666666667,0.1285833333333333
1908,8.186083333333334,0.27475,14.03875,0.35200000000000004,2.17475,0.3695,14.838166666666666,0.12508333333333332
1909,8.17825,0.26275,14.026583333333335,0.36741666666666667,2.157583333333333,0.37833333333333335,14.790333333333335,0.1195
1910,8.223,0.26008333333333333,14.097333333333333,0.33025,2.1576666666666666,0.42475,14.819083333333333,0.11758333333333333
1911,8.177,0.24783333333333335,13.987833333333334,0.33775,2.2501666666666664,0.31024999999999997,14.776000000000002,0.11516666666666665
1912,8.165416666666667,0.2584166666666667,14.053333333333335,0.3309166666666667,2.201,0.34975,14.877166666666668,0.11691666666666667
1913,8.29775,0.26225000000000004,14.201749999999999,0.3455,2.3190833333333334,0.3521666666666667,14.90875,0.11708333333333333
1914,8.5905,0.2519166666666667,14.3145,0.31666666666666665,2.6870833333333333,0.30391666666666667,15.07625,0.12525
1915,8.593166666666667,0.24616666666666664,14.474166666666667,0.399,2.6437500000000003,0.34541666666666665,15.143749999999999,0.13425
1916,8.22525,0.2604166666666667,14.097166666666666,0.3239166666666667,2.2624999999999997,0.32683333333333336,14.901333333333334,0.13483333333333333
1919,8.38225,0.26675,14.156333333333334,0.34125,2.451083333333333,0.3393333333333333,15.006750000000002,0.14283333333333334
1920,8.358749999999999,0.26266666666666666,14.142666666666665,0.35325,2.44575,0.327,15.02625,0.1355833333333333
1921,8.571,0.2568333333333333,14.424416666666668,0.28975,2.6770833333333326,0.3153333333333333,15.102083333333335,0.12916666666666665
1922,8.408,0.25858333333333333,14.20525,0.3156666666666667,2.433333333333333,0.31325,15.012333333333332,0.12408333333333332
1923,8.422166666666667,0.2530833333333333,14.181750000000001,0.28475,2.45625,0.28983333333333333,15.027833333333334,0.12266666666666666
1924,8.506833333333335,0.2568333333333333,14.223833333333333,0.27925,2.5061666666666667,0.29425,15.039333333333333,0.1245
1925,8.534416666666667,0.24075,14.344333333333333,0.2554166666666667,2.5414999999999996,0.29058333333333336,15.090333333333334,0.12391666666666667
1926,8.728833333333332,0.24266666666666667,14.452250000000001,0.256,2.7685833333333334,0.28175,15.241083333333334,0.12241666666666667
1927,8.522083333333333,0.24891666666666667,14.297833333333331,0.24875,2.5352499999999996,0.29525,15.122250000000001,0.12166666666666666
1928,8.632166666666667,0.24858333333333335,14.362166666666667,0.24783333333333335,2.66825,0.27941666666666665,15.132249999999999,0.12333333333333334
1929,8.242416666666667,0.25175,13.956416666666668,0.24575,2.3010833333333336,0.2755,14.967416666666667,0.12466666666666666
1930,8.633583333333332,0.23966666666666667,14.32625,0.24358333333333335,2.7399999999999998,0.26933333333333337,15.1725,0.12891666666666665
1931,8.71925,0.23775000000000002,14.41975,0.2285,2.818583333333333,0.2738333333333333,15.228250000000001,0.12908333333333333
1932,8.70525,0.24891666666666667,14.432083333333333,0.22408333333333333,2.7624999999999997,0.2729166666666667,15.188,0.12941666666666665
1933,8.33825,0.24266666666666667,14.078333333333333,0.24091666666666667,2.4244166666666667,0.28125,15.012916666666667,0.12708333333333333
1934,8.628333333333334,0.24008333333333334,14.384250000000002,0.23408333333333334,2.7665833333333336,0.2758333333333333,15.1445,0.12441666666666666
1935,8.51575,0.23591666666666666,14.286916666666668,0.23308333333333334,2.58775,0.2635,15.118833333333333,0.12233333333333334
1936,8.554,0.24308333333333332,14.314583333333333,0.23908333333333334,2.6394166666666665,0.2559166666666667,15.166166666666667,0.12033333333333333
1937,8.698333333333332,0.24008333333333332,14.476333333333335,0.24558333333333335,2.75,0.2565,15.3005,0.12
1938,8.863666666666667,0.24050000000000002,14.649916666666668,0.23424999999999999,3.033,0.26875,15.293083333333334,0.11858333333333333
1939,8.760333333333334,0.2373333333333333,14.594666666666667,0.23933333333333331,2.8806666666666665,0.2605,15.302333333333332,0.12058333333333333
1940,8.764666666666667,0.23108333333333334,14.579083333333335,0.23491666666666666,2.890333333333333,0.25416666666666665,15.372083333333334,0.12283333333333334
1941,8.768666666666666,0.22783333333333333,14.536166666666666,0.23008333333333333,2.9148333333333336,0.26391666666666663,15.384666666666668,0.11591666666666667
1942,8.728416666666666,0.2295,14.53425,0.23866666666666667,2.920083333333334,0.27825,15.325333333333333,0.13308333333333333
1943,8.755083333333333,0.22658333333333333,14.603000000000002,0.22591666666666665,2.9365833333333335,0.24516666666666667,15.344999999999999,0.13366666666666666
1944,8.845,0.22516666666666665,14.727166666666667,0.22708333333333333,3.0596666666666668,0.24583333333333332,15.449083333333334,0.12775
1945,8.584833333333334,0.22033333333333335,14.43875,0.21483333333333332,2.7723333333333335,0.26066666666666666,15.33075,0.13033333333333333
1946,8.676916666666667,0.22241666666666668,14.481500000000002,0.21483333333333332,2.8305833333333332,0.25458333333333333,15.262750000000002,0.13241666666666665
1947,8.797083333333333,0.21708333333333332,14.5625,0.21766666666666667,2.964583333333333,0.24808333333333332,15.310166666666667,0.12875
1948,8.74675,0.20958333333333332,14.615583333333333,0.23324999999999999,2.9154166666666668,0.23758333333333334,15.261166666666666,0.1285
1949,8.58675,0.20824999999999996,14.414666666666667,0.22066666666666668,2.8021666666666665,0.24216666666666664,15.22275,0.10741666666666666
1950,8.365250000000001,0.18633333333333332,14.17375,0.21516666666666664,2.578583333333333,0.23275,15.1395,0.10233333333333333
1951,8.625666666666667,0.18416666666666667,14.430166666666667,0.2021666666666667,2.735666666666667,0.20675,15.311166666666667,0.09891666666666667
1952,8.638250000000001,0.20875,14.462583333333333,0.21225000000000002,2.8201666666666667,0.22241666666666668,15.363083333333334,0.10166666666666667
1953,8.87375,0.21208333333333332,14.639249999999999,0.20241666666666666,3.107666666666667,0.2255,15.421083333333334,0.10225
1954,8.560666666666666,0.18716666666666668,14.286583333333333,0.19133333333333333,2.8658333333333332,0.19175,15.230583333333334,0.09533333333333333
1955,8.62625,0.15358333333333332,14.329083333333335,0.17958333333333332,2.861416666666667,0.18783333333333332,15.174333333333335,0.08808333333333333
1957,8.7325,0.158,14.381916666666667,0.12041666666666666,3.001,0.15575,15.374083333333333,0.08441666666666665
1958,8.77375,0.10433333333333332,14.4775,0.161,3.1144999999999996,0.17258333333333334,15.382083333333334,0.0745
1959,8.732666666666667,0.10716666666666667,14.4165,0.15008333333333332,3.1085833333333333,0.14916666666666667,15.340499999999999,0.07391666666666664
1960,8.58375,0.09349999999999999,14.317416666666666,0.14941666666666667,2.9325833333333335,0.13758333333333334,15.291916666666667,0.06933333333333334
1961,8.797666666666666,0.09699999999999999,14.514916666666666,0.16574999999999998,3.1287499999999997,0.18175,15.379916666666666,0.06716666666666667
1962,8.745916666666666,0.13291666666666666,14.54016666666667,0.15891666666666668,3.0085833333333336,0.20441666666666666,15.325583333333334,0.0725
1963,8.856,0.09233333333333332,14.612250000000001,0.15275,3.1575833333333336,0.18241666666666667,15.376666666666667,0.06833333333333334
1965,8.527416666666666,0.10883333333333334,14.268416666666667,0.1845,2.841416666666667,0.19516666666666668,15.195750000000002,0.06724999999999999
1966,8.599333333333332,0.09225,14.325916666666666,0.12725,2.8994166666666668,0.13408333333333333,15.264666666666665,0.06366666666666666
1967,8.700083333333334,0.08366666666666667,14.406500000000001,0.12591666666666665,3.0370833333333334,0.15175,15.294166666666667,0.05925
1968,8.516333333333334,0.11166666666666668,14.164250000000001,0.13058333333333333,2.85725,0.1515,15.263916666666667,0.06016666666666667
1969,8.595083333333333,0.08516666666666667,14.212083333333332,0.1515,2.9629166666666666,0.19574999999999998,15.390500000000001,0.05516666666666667
1970,8.700916666666666,0.07558333333333332,14.40325,0.13183333333333333,3.04275,0.12166666666666666,15.332666666666666,0.05325
1971,8.59925,0.09791666666666667,14.35275,0.14966666666666667,2.9622499999999996,0.15808333333333333,15.200000000000001,0.05616666666666667
1973,8.94825,0.10074999999999999,14.566,0.13125,3.3701666666666665,0.12,15.40475,0.05491666666666667
1975,8.744833333333334,0.09708333333333334,14.383666666666668,0.13325,3.121083333333333,0.12775,15.238666666666667,0.05533333333333334
1977,8.85025,0.08466666666666667,14.4855,0.125,3.294583333333333,0.14291666666666666,15.40825,0.053
1978,8.69275,0.10383333333333332,14.28125,0.1558333333333333,3.170916666666667,0.19175,15.300916666666666,0.0555
1979,8.733416666666667,0.08641666666666666,14.457749999999999,0.15558333333333332,3.2000833333333336,0.1678333333333333,15.414166666666667,0.047499999999999994
1980,8.980333333333332,0.10666666666666667,14.672916666666666,0.15258333333333332,3.404666666666667,0.15008333333333332,15.491833333333332,0.05366666666666667
1981,9.165833333333333,0.08725,14.855166666666667,0.13891666666666666,3.6359166666666662,0.14741666666666667,15.516166666666669,0.052333333333333336
1982,8.639166666666666,0.08266666666666667,14.300916666666666,0.171,3.2399166666666663,0.2070833333333333,15.341916666666668,0.05475
1983,9.028166666666666,0.09399999999999999,14.679833333333335,0.11466666666666665,3.5524166666666663,0.12425000000000001,15.520249999999999,0.05583333333333334
1984,8.691833333333333,0.10258333333333332,14.342666666666666,0.13408333333333333,3.18675,0.13033333333333333,15.344166666666666,0.05716666666666667
1985,8.658,0.09325,14.267166666666668,0.11966666666666666,3.1756666666666664,0.10541666666666666,15.340666666666666,0.05391666666666667
1986,8.833583333333333,0.085,14.516833333333333,0.1205,3.3193333333333332,0.12825,15.384,0.05325
1987,8.994416666666666,0.08516666666666667,14.699833333333336,0.11075,3.431416666666667,0.14458333333333334,15.524500000000002,0.05333333333333334
1988,9.201583333333334,0.08008333333333333,14.89,0.13366666666666668,3.654,0.11149999999999999,15.555750000000002,0.05325
1989,8.921999999999999,0.08800000000000001,14.6215,0.11183333333333333,3.3343333333333334,0.12916666666666668,15.441583333333334,0.05591666666666667
1990,9.234166666666667,0.08633333333333333,14.957666666666668,0.12983333333333333,3.65875,0.11975000000000001,15.629333333333333,0.05725
1991,9.179416666666667,0.06208333333333333,14.839583333333335,0.10125,3.6221666666666668,0.10566666666666667,15.597999999999999,0.05508333333333334
1992,8.836583333333333,0.08333333333333333,14.471333333333334,0.09899999999999999,3.2635,0.1025,15.453000000000001,0.058166666666666665
1993,8.866583333333333,0.08133333333333333,14.519750000000002,0.0785,3.2845833333333334,0.10633333333333332,15.466416666666667,0.059166666666666666
1994,9.03875,0.07091666666666667,14.72925,0.10925,3.3960833333333333,0.12675,15.534999999999998,0.05858333333333333
1996,9.038916666666667,0.08474999999999999,14.737250000000001,0.11791666666666667,3.3811666666666667,0.11241666666666666,15.524666666666667,0.0595
1997,9.202583333333333,0.08858333333333333,14.868,0.12066666666666666,3.5901666666666663,0.1115,15.713833333333334,0.059166666666666666
1999,9.285083333333334,0.07925,14.982750000000001,0.09675,3.662333333333333,0.1135,15.600333333333333,0.06333333333333334
2000,9.201166666666667,0.0835,14.898833333333334,0.12266666666666666,3.5818333333333334,0.11541666666666667,15.610666666666667,0.0635
2004,9.324583333333333,0.08341666666666668,15.018,0.10908333333333332,3.6644166666666664,0.10591666666666666,15.757249999999999,0.06125
